"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740646688659623E9,"2025-02-27 10:58:08.660 UTC+02:00"
"PAUSE",1.822134478333464E2,1.740646870861345E9,"2025-02-27 11:01:10.861 UTC+02:00"
