"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.327926250E-1,4.553739922E-1,-1.982381523E-1,-6.789494455E-2
7.427636250E-1,4.325687548E-1,-2.230841410E-1,-3.645095766E-2
7.527336250E-1,4.389927252E-1,-1.943520927E-1,3.047334909E-2
7.627036250E-1,4.057738160E-1,-1.940112001E-1,1.425445926E-1
7.726746250E-1,3.687541435E-1,-1.982732356E-1,2.526090717E-1
7.826446250E-1,3.710300260E-1,-1.908537036E-1,3.025735295E-1
7.926146250E-1,3.823946743E-1,-2.179397607E-1,2.872573328E-1
8.025846250E-1,4.522252665E-1,-2.036292851E-1,2.215357983E-1
8.125556250E-1,5.477681856E-1,-2.556829530E-1,2.889927864E-2
8.225256250E-1,8.265456670E-1,-5.636511236E-1,-4.261667114E-1
8.324956250E-1,9.888537754E-1,-2.948639756E-1,-1.616696656E-1
8.424666250E-1,1.027956884E0,-2.793431264E-1,-1.478924561E-1
8.524366250E-1,9.959652322E-1,-3.134195298E-1,-9.642818749E-2
8.624066250E-1,9.094042942E-1,-3.011620116E-1,1.322248417E-1
8.723776250E-1,7.686762122E-1,-3.449997568E-1,3.839661866E-1
8.823476250E-1,5.606233257E-1,-4.313368195E-1,5.126359212E-1
8.923176250E-1,3.850949551E-1,-5.021635580E-1,5.267230332E-1
9.022876250E-1,2.736701943E-1,-5.139281559E-1,4.398731697E-1
9.122586250E-1,2.769147412E-1,-4.305018371E-1,2.307872629E-1
9.222286250E-1,3.036845735E-1,-3.286708224E-1,-1.628975809E-2
9.321986250E-1,2.940497509E-1,-2.728872156E-1,-2.015652180E-1
9.421696250E-1,2.863797754E-1,-1.529473740E-1,-2.814995795E-1
9.521396250E-1,2.686174691E-1,-7.300950408E-2,-2.290974176E-1
9.621096250E-1,1.941364767E-1,-3.581595004E-2,-9.377413630E-2
9.720796250E-1,1.409022925E-1,-1.014550388E-2,8.701241612E-2
9.820506250E-1,7.438805826E-2,3.389513969E-2,2.109932685E-1
9.920206250E-1,5.069027994E-2,9.134286404E-2,1.800556505E-1
1.001990625E0,8.452954218E-2,1.909314716E-1,2.178672552E-2
1.011961625E0,1.242429904E-1,2.957930982E-1,-1.725425631E-1
1.021931625E0,1.660069840E-1,3.061496866E-1,-3.115870124E-1
1.031901625E0,2.668210948E-1,3.120126897E-1,-3.355366230E-1
1.041871625E0,3.634535329E-1,3.472959584E-1,-1.717561126E-1
1.051842625E0,3.288099130E-1,3.288316208E-1,6.241317987E-2
1.061812625E0,2.652293731E-1,2.830303806E-1,2.696040040E-1
1.071782625E0,2.182858428E-1,2.892202431E-1,3.655421948E-1
1.081753625E0,2.120581561E-1,3.447413099E-1,3.394168353E-1
1.091723625E0,1.547279973E-1,3.796918720E-1,2.126386750E-1
1.101693625E0,1.188457179E-1,4.155563539E-1,2.457409322E-2
1.111664000E0,9.295943644E-2,4.436685973E-1,-2.077071333E-1
1.121635000E0,7.238059949E-2,4.543871284E-1,-3.941052586E-1
1.131605000E0,1.417476537E-1,3.999629992E-1,-5.052450407E-1
1.141575000E0,2.036042883E-1,3.658246154E-1,-4.642507964E-1
1.151546000E0,3.085157624E-1,3.794000959E-1,-3.249256808E-1
1.161516000E0,4.436686339E-1,3.615900618E-1,-1.312688220E-1
1.171486000E0,4.922447799E-1,2.833420372E-1,4.139243960E-2
1.181456000E0,4.740803314E-1,1.715953141E-1,1.919675982E-1
1.191427000E0,4.614226444E-1,1.143446410E-1,2.556823683E-1
1.201397000E0,4.562394897E-1,1.129968578E-1,2.563834494E-1
1.211367000E0,3.798035173E-1,1.220044935E-1,2.185630739E-1
1.221338000E0,2.262944817E-1,9.469097972E-2,1.640793031E-1
1.231308000E0,5.380154684E-2,9.262925148E-2,1.421434736E-1
1.241278000E0,-4.022303302E-2,9.679480791E-2,1.473463261E-1
1.251248000E0,-4.602628492E-2,1.071350241E-1,1.540156603E-1
1.261219000E0,5.509718020E-2,1.138599068E-1,1.515516436E-1
1.271189000E0,1.726024970E-1,1.603020018E-1,1.121045727E-1
1.281159000E0,2.675194351E-1,1.936252838E-1,3.027045071E-2
1.291130000E0,3.621150321E-1,2.329103869E-1,-1.124250001E-1
1.301100000E0,4.287049147E-1,2.458315641E-1,-2.891886681E-1
1.311070000E0,4.236650899E-1,2.318491173E-1,-4.931196696E-1
1.321040000E0,3.948524962E-1,2.352182829E-1,-6.428037125E-1
1.331011000E0,3.930537465E-1,2.282484019E-1,-7.288706338E-1
1.340981000E0,3.702147414E-1,1.952151418E-1,-7.537750947E-1
1.350951000E0,3.980857872E-1,2.155997050E-1,-7.275772297E-1
1.360922000E0,5.240395267E-1,2.169515812E-1,-6.813766247E-1
1.370892000E0,6.293893227E-1,2.352451801E-1,-5.947735137E-1
1.380862000E0,7.491078472E-1,2.281150854E-1,-4.908877873E-1
1.390832000E0,8.841503160E-1,2.729544586E-1,-3.600814801E-1
1.400803000E0,9.355854946E-1,3.052889764E-1,-2.405679005E-1
1.410773000E0,9.615833849E-1,3.141527706E-1,-1.472814220E-1
1.420743000E0,9.890131120E-1,3.900537229E-1,-1.087067556E-1
1.430713000E0,9.516016030E-1,4.365349942E-1,-1.290509731E-1
1.440684000E0,8.251617772E-1,4.156656969E-1,-1.222050530E-1
1.450654000E0,6.426234721E-1,3.497248918E-1,-1.980966496E-1
1.460624000E0,5.031182621E-1,2.658816665E-1,-3.458201212E-1
1.470595000E0,4.746961894E-1,2.314216858E-1,-5.412252975E-1
1.480565000E0,5.969208671E-1,3.186036712E-1,-7.336688590E-1
1.490535000E0,7.415238623E-1,3.936345577E-1,-7.929964632E-1
1.500505000E0,8.897979954E-1,4.705628657E-1,-7.037860787E-1
1.510476000E0,9.619899856E-1,5.376415390E-1,-5.411907989E-1
1.520446000E0,9.385542722E-1,5.973410261E-1,-3.437502068E-1
1.530416000E0,8.367183604E-1,6.374172574E-1,-2.328864133E-1
1.540386000E0,6.927577914E-1,6.415693653E-1,-1.447296971E-1
1.550357000E0,5.290124374E-1,6.426189405E-1,-9.714447141E-2
1.560327000E0,4.122750427E-1,5.926498049E-1,-9.200593829E-2
1.570297000E0,3.389194200E-1,5.554416329E-1,-6.615481317E-2
1.580268000E0,3.234974252E-1,5.214973766E-1,-2.652297020E-2
1.590238000E0,3.102397408E-1,5.376123029E-1,5.938139856E-2
1.600208000E0,3.434141381E-1,5.549533904E-1,1.103404677E-1
1.610178000E0,3.761809479E-1,6.013375980E-1,1.252532065E-1
1.620149000E0,3.708380911E-1,5.938958466E-1,1.070297742E-1
1.630119000E0,3.659679452E-1,5.873697692E-1,1.113356638E-1
1.640089000E0,3.109460845E-1,5.758758974E-1,6.335575104E-2
1.650060000E0,2.590361850E-1,5.888526231E-1,1.761298299E-2
1.660030000E0,1.700592506E-1,6.281242776E-1,-3.450032651E-2
1.670000000E0,8.007703364E-2,6.400713086E-1,-1.453641200E-1
1.679970000E0,1.515130520E-2,6.350748628E-1,-3.131663454E-1
1.689941000E0,2.269304395E-2,6.547372949E-1,-4.809779263E-1
1.699911000E0,6.214062653E-2,6.489093751E-1,-6.415079695E-1
1.709881000E0,1.393759865E-1,6.605201912E-1,-7.818469924E-1
1.719851000E0,2.132277089E-1,6.838347942E-1,-8.419417512E-1
1.729822000E0,3.215259634E-1,7.067412615E-1,-8.673981893E-1
1.739792000E0,4.682472222E-1,7.523963213E-1,-8.063784009E-1
1.749762000E0,5.135035019E-1,7.310007745E-1,-7.485044146E-1
1.759733000E0,4.400684667E-1,6.611598766E-1,-6.843932033E-1
1.769703000E0,3.593746980E-1,5.664016539E-1,-5.848782706E-1
1.779673000E0,3.220082125E-1,5.307663828E-1,-4.920139611E-1
1.789643000E0,3.672354754E-1,5.433092451E-1,-4.138115448E-1
1.799614000E0,4.575511298E-1,5.570730060E-1,-3.066700888E-1
1.809584000E0,5.640552393E-1,5.750555331E-1,-2.133192909E-1
1.819554000E0,6.431494291E-1,5.367135859E-1,-1.328060549E-1
1.829524000E0,6.893593897E-1,4.963099104E-1,-5.153151155E-2
1.839495000E0,6.901914485E-1,4.396462977E-1,6.526545167E-2
1.849465000E0,7.081578957E-1,3.547470653E-1,2.090391290E-1
1.859435000E0,7.748918755E-1,3.239930499E-1,4.132203913E-1
1.869406000E0,8.043600883E-1,2.599052274E-1,6.261835867E-1
1.879376000E0,7.672774851E-1,1.828956431E-1,8.355180001E-1
1.889346000E0,6.842372288E-1,1.076332068E-1,9.451322436E-1
1.899316000E0,5.276539099E-1,7.229965210E-2,9.525038284E-1
1.909287000E0,2.948348857E-1,8.040857077E-2,8.407307929E-1
1.919257000E0,6.740027010E-2,8.539683044E-2,6.992837226E-1
1.929227000E0,-5.658876836E-2,1.110684460E-1,5.099807006E-1
1.939197000E0,-2.274313997E-1,9.113061011E-2,3.277212346E-1
1.949168000E0,-3.892535314E-1,2.017757177E-2,1.788464463E-1
1.959138000E0,-4.502092928E-1,-3.017338693E-2,1.112994111E-1
1.969108000E0,-4.690801580E-1,-1.505821753E-1,1.917910123E-1
1.979078000E0,-5.229065555E-1,-3.063145781E-1,2.737210286E-1
1.989049000E0,-4.742700005E-1,-4.058423746E-1,3.220125979E-1
1.999019000E0,-3.842623481E-1,-4.929869378E-1,3.400910193E-1
2.008989000E0,-3.336058724E-1,-6.191967487E-1,3.125336766E-1
2.018960000E0,-3.196114388E-1,-7.410983312E-1,2.910498369E-1
2.028930000E0,-3.285473000E-1,-8.329849863E-1,2.587147343E-1
2.038900000E0,-3.761393961E-1,-9.106354254E-1,2.753746212E-1
2.048870000E0,-4.271556218E-1,-9.957907659E-1,2.887577283E-1
2.058841000E0,-4.651214468E-1,-1.051881351E0,3.062058198E-1
2.068811000E0,-4.568568461E-1,-1.074867341E0,2.819480610E-1
2.078781000E0,-4.367332149E-1,-1.024009429E0,1.575976646E-1
2.088751000E0,-5.056939606E-1,-1.055617722E0,1.872219980E-2
2.098722000E0,-6.262875210E-1,-1.153550398E0,-4.826759577E-2
2.108692000E0,-6.747452974E-1,-1.163575450E0,-2.762867868E-2
2.118662000E0,-6.357839839E-1,-1.188067097E0,3.061251283E-2
2.128633000E0,-5.838297187E-1,-1.351535951E0,8.796375811E-2
2.138603000E0,-5.066056877E-1,-1.495556381E0,1.248129112E-1
2.148573000E0,-2.993417734E-1,-1.467991437E0,1.276014483E-1
2.158543000E0,-6.381446511E-2,-1.307522789E0,1.365628910E-1
2.168514000E0,1.013190910E-2,-1.237183709E0,4.936687231E-2
2.178484000E0,5.627184927E-2,-1.149793562E0,-1.399525219E-1
2.188454000E0,6.573030531E-2,-9.683117759E-1,-3.331766868E-1
2.198424000E0,4.094366580E-2,-7.577137792E-1,-4.976419061E-1
2.208395000E0,-2.025022343E-2,-5.773944193E-1,-5.757823420E-1
2.218365000E0,-8.228055686E-2,-4.327307957E-1,-5.753519869E-1
2.228335000E0,-2.140004915E-1,-3.494758004E-1,-4.231021857E-1
2.238306000E0,-3.819769639E-1,-3.369235826E-1,-1.800147200E-1
2.248276000E0,-5.283225390E-1,-3.033383453E-1,6.062860966E-2
2.258246000E0,-5.444930139E-1,-2.304463702E-1,3.126892126E-1
2.268216000E0,-5.701886031E-1,-2.296429628E-1,4.501595914E-1
2.278187000E0,-5.539131707E-1,-1.946093702E-1,5.967750156E-1
2.288157000E0,-4.843010451E-1,-1.363991690E-1,7.635282505E-1
2.298127000E0,-3.449677433E-1,-8.920863032E-2,7.303874016E-1
2.308097000E0,-2.438666072E-1,-3.763443410E-2,5.662051874E-1
2.318068000E0,-1.801692326E-1,3.490670800E-2,4.107902884E-1
2.328038000E0,-1.701292710E-1,8.439812601E-2,3.279440135E-1
2.338008000E0,-1.332953207E-1,6.809082627E-2,2.937951046E-1
2.347978000E0,-1.803693536E-1,-6.255936027E-3,3.052661723E-1
2.357949000E0,-2.710238542E-1,-8.895310700E-2,3.639295328E-1
2.367919000E0,-3.072077402E-1,-1.242240965E-1,3.829552031E-1
2.377889000E0,-3.197077717E-1,-1.624789202E-1,2.888980615E-1
2.387859000E0,-2.957634236E-1,-1.839861488E-1,1.150632638E-1
2.397830000E0,-2.547836512E-1,-2.085339296E-1,-9.693338692E-2
2.407800000E0,-2.327017875E-1,-2.366473424E-1,-2.810967064E-1
2.417770000E0,-1.754623702E-1,-2.418806005E-1,-3.689838660E-1
2.427740000E0,-8.931841180E-2,-2.055097497E-1,-3.492986298E-1
2.437711000E0,-1.326731770E-1,-1.395829779E-1,-2.439394051E-1
2.447681000E0,-2.917474097E-1,-3.169951022E-2,-1.203661036E-1
2.457651000E0,-3.998124334E-1,3.606270254E-2,-1.903151751E-2
2.467622000E0,-4.319269498E-1,1.221851724E-1,-4.336879849E-2
2.477592000E0,-4.347811219E-1,1.700177354E-1,-2.078796262E-1
2.487562000E0,-3.810928649E-1,1.726191616E-1,-4.140723306E-1
2.497532000E0,-3.017898564E-1,1.650587118E-1,-5.221125036E-1
2.507503000E0,-2.449579901E-1,1.519714737E-1,-5.046152955E-1
2.517473000E0,-2.529984963E-1,1.307033962E-1,-4.812667787E-1
2.527443000E0,-2.627574992E-1,1.115830010E-1,-4.260702324E-1
2.537413000E0,-2.866312422E-1,1.269728726E-1,-4.029632056E-1
2.547384000E0,-2.929897968E-1,1.442239130E-1,-3.538395774E-1
2.557354000E0,-3.028565347E-1,1.565527672E-1,-3.113683265E-1
2.567324000E0,-3.435673352E-1,1.655428612E-1,-2.679521656E-1
2.577294000E0,-3.949630451E-1,1.916161805E-1,-2.065961623E-1
2.587265000E0,-4.445097193E-1,2.288290304E-1,-1.934820271E-1
2.597235000E0,-4.868863915E-1,3.033482856E-1,-2.404649895E-1
2.607205000E0,-5.060794383E-1,3.661590761E-1,-2.919807136E-1
2.617175000E0,-4.726452054E-1,4.351404333E-1,-3.403658384E-1
2.627146000E0,-4.366362973E-1,4.623177069E-1,-3.560644430E-1
2.637116000E0,-3.793547800E-1,4.969876027E-1,-4.442164814E-1
2.647086000E0,-3.423902906E-1,5.218189734E-1,-5.216745472E-1
2.657056000E0,-3.430643284E-1,4.695401877E-1,-4.840173090E-1
2.667027000E0,-3.177689812E-1,4.289657736E-1,-3.899052036E-1
2.676997000E0,-2.294099513E-1,4.233746660E-1,-3.280013162E-1
2.686967000E0,-1.509404634E-1,4.697413319E-1,-3.752567589E-1
2.696938000E0,-1.275611025E-1,4.982897776E-1,-5.159641564E-1
2.706908000E0,-1.525591189E-1,5.754899812E-1,-6.596167964E-1
2.716878000E0,-3.127938777E-1,6.966863894E-1,-7.278695905E-1
2.726848000E0,-5.182298063E-1,7.211271662E-1,-8.162315440E-1
2.736819000E0,-6.648465461E-1,6.651073319E-1,-8.396940815E-1
2.746789000E0,-6.436443959E-1,6.206468582E-1,-8.538326490E-1
2.756759000E0,-6.663755929E-1,6.136910105E-1,-8.980317521E-1
2.766729000E0,-6.506237787E-1,6.665896010E-1,-9.228186840E-1
2.776700000E0,-6.538094880E-1,6.712048084E-1,-9.037842429E-1
2.786670000E0,-7.083891530E-1,6.982727391E-1,-9.029972076E-1
2.796640000E0,-7.173811474E-1,7.204734474E-1,-9.053834563E-1
2.806610000E0,-7.759923215E-1,7.571430910E-1,-8.138382787E-1
2.816581000E0,-8.081718881E-1,7.878596842E-1,-7.335940146E-1
2.826551000E0,-7.650621213E-1,7.907932323E-1,-7.236367911E-1
2.836521000E0,-7.379253396E-1,8.241188532E-1,-7.910581112E-1
2.846491000E0,-7.347134641E-1,8.446618760E-1,-8.027554661E-1
2.856462000E0,-7.710077164E-1,8.541945916E-1,-7.068956280E-1
